12通道动态心电图,心电图
16导以上脑电图加收,脑电图
5针以内，创面深度在2cm以上清创缝合,清创缝合
ABO亚型鉴定,ABO亚型鉴定
ABO血型鉴定（微柱凝胶法加收10元）,ABO亚型鉴定
ABO血型鉴定（微柱凝胶法）,ABO亚型鉴定
B超常规检查,B超常规检查
B超常规检查多部位同时做时，增加一个部位,B超常规检查
F_MC,-
Rh血型其他抗原鉴定,Rh血型其他抗原鉴定
Rh血型的C抗原鉴定,Rh血型的C抗原鉴定
Rh血型的E抗原鉴定,Rh血型的E抗原鉴定
Rh血型鉴定（微柱凝胶法加收10元）,Rh血型鉴定
Rh血型鉴定（微柱凝胶法）,Rh血型鉴定
X线摄影(一张胶片多次曝光每增加一次加收3元),X线摄影
X线摄影(加滤线器加收2元),X线摄影
X线计算机体层(CT)增强扫描(普通),X线计算机体层(CT)增强扫描
X线计算机体层(CT)平扫(螺旋),X线计算机体层(CT)扫描（螺旋）
X线计算机体层(CT)成象,X线计算机体层(CT)扫描
X线计算机体层(CT)扫描(使用呼吸门控设备的加收20元(限螺旋CT机以上),X线计算机体层(CT)扫描（螺旋）
X线计算机体层(CT)扫描(使用心电设备的加收20元(限螺旋CT机以上),X线计算机体层(CT)扫描（螺旋）
X线计算机体层(CT)扫描(单次多层10层以上，普通CT加收10元/层),X线计算机体层(CT)扫描
X线计算机体层(CT)扫描(超过一张胶片加收30元/张),X线计算机体层(CT)扫描
X线计算机体层(CT)扫描单次多层10层以上，普通CT,X线计算机体层(CT)扫描
X线计算机体层(CT)扫描超过一张加收,X线计算机体层(CT)扫描
α2-巨球蛋白测定,α2-巨球蛋白测定
β2微球蛋白测定(化学法（血清标本）加收15元),β2微球蛋白测定
β2微球蛋白测定(血清),β2微球蛋白测定
Ⅰ级护理,Ⅰ级护理
Ⅱ级护理,Ⅱ级护理
Ⅲ级护理,Ⅲ级护理
一次性三通管,-
一次性中单,-
一次性中心静脉导管,-
一次性冲洗器,-
一次性冲洗器进口,-
一次性口罩,-
一次性口腔器械盘,-
一次性口腔护理包,-
一次性口腔护理包进口,-
一次性吸氧管,-
一次性吸痰管,-
一次性吸痰管进口,-
一次性备皮包,-
一次性备皮包进口,-
一次性大小便器,-
一次性导尿包,-
一次性导尿包进口,-
一次性导管,-
一次性尿袋,-
一次性床单,-
一次性引流管,-
一次性引流袋,-
一次性引流袋国产,-
一次性引流袋进口,-
一次性手术包,-
一次性换药包,-
一次性敷贴,-
一次性敷贴进口,-
一次性无针密闭输液接头,-
一次性注射器,-
一次性注射器国产,-
一次性注射器进口,-
一次性留置静脉针,-
一次性穿刺针,-
一次性穿刺针国产,-
一次性肝素冒,-
一次性胃管,-
一次性胃管进口,-
一次性胰岛素泵管,-
一次性胸带,-
一次性脸盆,-
一次性脸盆、大小便器国产,-
一次性营养管,-
一次性被套,-
一次性负压吸引器,-
一次性负压吸引器国产,-
一次性输液器,-
一次性输液器国产,-
一次性输液器进口,-
一次性输血器,-
一次性输血器进口,-
一次性连接管,-
一次性连接管进口,-
一次性采血器,-
一次性采血器国产,-
一次性采血器进口,-
一次性面罩,-
一次性鼻导管,-
一般专项护理(口腔护理),口腔护理
一般专项护理(尿道口护理),尿道口护理
一般专项护理(皮肤护理),皮肤护理
一般专项护理(褥疮护理),褥疮护理
一般物理降温(酒精擦浴及冰袋),酒精擦浴及冰袋
一般细菌培养及鉴定+自动仪鉴定,一般细菌培养及鉴定
一般细菌培养及鉴定（自动仪鉴定加收50元）,一般细菌培养及鉴定
一般细菌涂片检查,一般细菌涂片检查
丁咯地尔,丁咯地尔
七叶皂苷,七叶皂苷
三磷酸腺苷,三磷酸腺苷
三通接头进口,-
三通道心电图检查,心电图
上消化道造影,上消化道造影
丙型肝炎抗体测定(Anti-HCV),丙型肝炎抗体测定
中心给氧,给氧
中心静脉测压,中心静脉测压
中心静脉穿刺置管术,静脉穿刺置管术
中换药,中换药
中级及以下职称市内出诊,-
中级及以下职称市外出诊,-
丹参酮ⅡA磺酸钠,丹参酮ⅡA磺酸钠
乙型肝炎DNA测定（定量加收60元）,乙型肝炎DNA测定
乙型肝炎e抗体测定(Anti-HBe)（化学发光法加收10元）,乙型肝炎e抗体测定
乙型肝炎e抗体测定(Anti-HBe)（化学发光法）,乙型肝炎e抗体测定
乙型肝炎核心IgM抗体测定(Anti-HBcIgM)（酶免法,乙型肝炎核心IgM抗体测定
乙型肝炎核心抗体测定(Anti-HBc)定量加收,乙型肝炎核心抗体测定
乙型肝炎核心抗体测定(Anti-HBc)（定量加收20元）,乙型肝炎核心抗体测定
